Size,Pressure Class,Bonnet,Yokeboss,Actuator,Name
NPS 1 1/2,CL300 RF,Ext 1,3  9/16,76i,FCVCAD000166
NPS 1 1/2,CL300 RTJ,Plain,2 1/8,30i,FCVCAD000167
NPS 1 1/2,CL300 RTJ,Plain,2 1/8,34i,FCVCAD000168
NPS 1 1/2,CL300 RTJ,Ext 1,2 1/8,30i,FCVCAD000169
NPS 1 1/2,CL300 RTJ,Ext 1,2 1/8,34i,FCVCAD000170
NPS 1 1/2,CL300 RTJ,Plain,2 13/16,40i,FCVCAD000171
NPS 1 1/2,CL300 RTJ,Plain,2 13/16,45i,FCVCAD000172
NPS 1 1/2,CL300 RTJ,Plain,2 13/16,46i,FCVCAD000173
NPS 1 1/2,CL300 RTJ,Ext 1,2 13/16,40i,FCVCAD000174
NPS 1 1/2,CL300 RTJ,Ext 1,2 13/16,45i,FCVCAD000175
NPS 1 1/2,CL300 RTJ,Ext 1,2 13/16,46i,FCVCAD000176
NPS 1 1/2,CL300 RTJ,Plain,3  9/16,50i,FCVCAD000177
NPS 1 1/2,CL300 RTJ,Plain,3  9/16,60i,FCVCAD000178
NPS 1 1/2,CL300 RTJ,Plain,3  9/16,70i,FCVCAD000179
NPS 1 1/2,CL300 RTJ,Plain,3  9/16,76i,FCVCAD000180
NPS 1 1/2,CL300 RTJ,Ext 1,3  9/16,50i,FCVCAD000181
NPS 1 1/2,CL300 RTJ,Ext 1,3  9/16,60i,FCVCAD000182
NPS 1 1/2,CL300 RTJ,Ext 1,3  9/16,70i,FCVCAD000183
NPS 1 1/2,CL300 RTJ,Ext 1,3  9/16,76i,FCVCAD000184
NPS 1 1/2,CL600 RF,Plain,2 1/8,30i,FCVCAD000185
NPS 1 1/2,CL600 RF,Plain,2 1/8,34i,FCVCAD000186
NPS 1 1/2,CL600 RF,Ext 1,2 1/8,30i,FCVCAD000187
NPS 1 1/2,CL600 RF,Ext 1,2 1/8,34i,FCVCAD000188
NPS 1 1/2,CL600 RF,Plain,2 13/16,40i,FCVCAD000189
NPS 1 1/2,CL600 RF,Plain,2 13/16,45i,FCVCAD000190
NPS 1 1/2,CL600 RF,Plain,2 13/16,46i,FCVCAD000191
NPS 1 1/2,CL600 RF,Ext 1,2 13/16,40i,FCVCAD000192
NPS 1 1/2,CL600 RF,Ext 1,2 13/16,45i,FCVCAD000193
NPS 1 1/2,CL600 RF,Ext 1,2 13/16,46i,FCVCAD000194
NPS 1 1/2,CL600 RF,Plain,3  9/16,50i,FCVCAD000195
NPS 1 1/2,CL600 RF,Plain,3  9/16,60i,FCVCAD000196
NPS 1 1/2,CL600 RF,Plain,3  9/16,70i,FCVCAD000197
NPS 1 1/2,CL600 RF,Plain,3  9/16,76i,FCVCAD000198
NPS 1 1/2,CL600 RF,Ext 1,3  9/16,50i,FCVCAD000199
NPS 1 1/2,CL600 RF,Ext 1,3  9/16,60i,FCVCAD000200
NPS 1 1/2,CL600 RF,Ext 1,3  9/16,70i,FCVCAD000201
NPS 1 1/2,CL600 RF,Ext 1,3  9/16,76i,FCVCAD000202
NPS 1 1/2,CL600 RTJ,Plain,2 1/8,30i,FCVCAD000203
NPS 1 1/2,CL600 RTJ,Plain,2 1/8,34i,FCVCAD000204
NPS 1 1/2,CL600 RTJ,Ext 1,2 1/8,30i,FCVCAD000205
NPS 1 1/2,CL600 RTJ,Ext 1,2 1/8,34i,FCVCAD000206
NPS 1 1/2,CL600 RTJ,Plain,2 13/16,40i,FCVCAD000207
NPS 1 1/2,CL600 RTJ,Plain,2 13/16,45i,FCVCAD000208
NPS 1 1/2,CL600 RTJ,Plain,2 13/16,46i,FCVCAD000209
NPS 1 1/2,CL600 RTJ,Ext 1,2 13/16,40i,FCVCAD000210
NPS 1 1/2,CL600 RTJ,Ext 1,2 13/16,45i,FCVCAD000211
NPS 1 1/2,CL600 RTJ,Ext 1,2 13/16,46i,FCVCAD000212
NPS 1 1/2,CL600 RTJ,Plain,3  9/16,50i,FCVCAD000213
NPS 1 1/2,CL600 RTJ,Plain,3  9/16,60i,FCVCAD000214
NPS 1 1/2,CL600 RTJ,Plain,3  9/16,70i,FCVCAD000215
NPS 1 1/2,CL600 RTJ,Plain,3  9/16,76i,FCVCAD000216
NPS 1 1/2,CL600 RTJ,Ext 1,3  9/16,50i,FCVCAD000217
NPS 1 1/2,CL600 RTJ,Ext 1,3  9/16,60i,FCVCAD000218
NPS 1 1/2,CL600 RTJ,Ext 1,3  9/16,70i,FCVCAD000219
NPS 1 1/2,CL600 RTJ,Ext 1,3  9/16,76i,FCVCAD000220
NPS 1 1/2,BWE,Plain,2 1/8,30i,FCVCAD000221
NPS 1 1/2,BWE,Plain,2 1/8,34i,FCVCAD000222
NPS 1 1/2,BWE,Ext 1,2 1/8,30i,FCVCAD000223
NPS 1 1/2,BWE,Ext 1,2 1/8,34i,FCVCAD000224
NPS 1 1/2,BWE,Plain,2 13/16,40i,FCVCAD000225
NPS 1 1/2,BWE,Plain,2 13/16,45i,FCVCAD000226
NPS 1 1/2,BWE,Plain,2 13/16,46i,FCVCAD000227
NPS 1 1/2,BWE,Ext 1,2 13/16,40i,FCVCAD000228
NPS 1 1/2,BWE,Ext 1,2 13/16,45i,FCVCAD000229
NPS 1 1/2,BWE,Ext 1,2 13/16,46i,FCVCAD000230
NPS 1 1/2,BWE,Plain,3  9/16,50i,FCVCAD000231
NPS 1 1/2,BWE,Plain,3  9/16,60i,FCVCAD000232
NPS 1 1/2,BWE,Plain,3  9/16,70i,FCVCAD000233
NPS 1 1/2,BWE,Plain,3  9/16,76i,FCVCAD000234
NPS 1 1/2,BWE,Ext 1,3  9/16,50i,FCVCAD000235
NPS 1 1/2,BWE,Ext 1,3  9/16,60i,FCVCAD000236
NPS 1 1/2,BWE,Ext 1,3  9/16,70i,FCVCAD000237
NPS 1 1/2,BWE,Ext 1,3  9/16,76i,FCVCAD000238
NPS 1 1/2,PN16-40,Plain,2 1/8,30i,FCVCAD000239
NPS 1 1/2,PN16-40,Plain,2 1/8,34i,FCVCAD000240
NPS 1 1/2,PN16-40,Ext 1,2 1/8,30i,FCVCAD000241
NPS 1 1/2,PN16-40,Ext 1,2 1/8,34i,FCVCAD000242
NPS 1 1/2,PN16-40,Plain,2 13/16,40i,FCVCAD000243
NPS 1 1/2,PN16-40,Plain,2 13/16,45i,FCVCAD000244
NPS 1 1/2,PN16-40,Plain,2 13/16,46i,FCVCAD000245
NPS 1 1/2,PN16-40,Ext 1,2 13/16,40i,FCVCAD000246
NPS 1 1/2,PN16-40,Ext 1,2 13/16,45i,FCVCAD000247
NPS 1 1/2,PN16-40,Ext 1,2 13/16,46i,FCVCAD000248
NPS 1 1/2,PN16-40,Plain,3  9/16,50i,FCVCAD000249
NPS 1 1/2,PN16-40,Plain,3  9/16,60i,FCVCAD000250
NPS 1 1/2,PN16-40,Plain,3  9/16,70i,FCVCAD000251
NPS 1 1/2,PN16-40,Plain,3  9/16,76i,FCVCAD000252
