Size,Pressure class,Flange type,Bonnet,Actuator,Name
DN 100 / NPS 4,PN20/40,EN-1092-D,Standard (Balanced),750-20,FCVCAD001529
DN 100 / NPS 4,PN20/40,EN-1092-D,Standard (Unbalanced),750-20,FCVCAD001530
DN 100 / NPS 4,PN20/40,EN-1092-D,Standard (Unbalanced),750-40,FCVCAD001531
DN 100 / NPS 4,PN20/40,EN-1092-D,Extended,750-20,FCVCAD001532
DN 100 / NPS 4,PN20/40,EN-1092-D,Extended,750-40,FCVCAD001533
DN 100 / NPS 4,PN10/16,EN-1092-E,Standard (Balanced),750-20,FCVCAD001534
DN 100 / NPS 4,PN10/16,EN-1092-E,Standard (Unbalanced),750-20,FCVCAD001535
DN 100 / NPS 4,PN10/16,EN-1092-E,Standard (Unbalanced),750-40,FCVCAD001536
DN 100 / NPS 4,PN10/16,EN-1092-E,Extended,750-20,FCVCAD001537
DN 100 / NPS 4,PN10/16,EN-1092-E,Extended,750-40,FCVCAD001538
DN 100 / NPS 4,PN20/40,EN-1092-E,Standard (Balanced),750-20,FCVCAD001539
DN 100 / NPS 4,PN20/40,EN-1092-E,Standard (Unbalanced),750-20,FCVCAD001540
DN 100 / NPS 4,PN20/40,EN-1092-E,Standard (Unbalanced),750-40,FCVCAD001541
DN 100 / NPS 4,PN20/40,EN-1092-E,Extended,750-20,FCVCAD001542
DN 100 / NPS 4,PN20/40,EN-1092-E,Extended,750-40,FCVCAD001543
DN 100 / NPS 4,PN10/16,EN-1092-F,Standard (Balanced),750-20,FCVCAD001544
DN 100 / NPS 4,PN10/16,EN-1092-F,Standard (Unbalanced),750-20,FCVCAD001545
DN 100 / NPS 4,PN10/16,EN-1092-F,Standard (Unbalanced),750-40,FCVCAD001546
DN 100 / NPS 4,PN10/16,EN-1092-F,Extended,750-20,FCVCAD001547
DN 100 / NPS 4,PN10/16,EN-1092-F,Extended,750-40,FCVCAD001548
DN 100 / NPS 4,PN20/40,EN-1092-F,Standard (Balanced),750-20,FCVCAD001549
DN 100 / NPS 4,PN20/40,EN-1092-F,Standard (Unbalanced),750-20,FCVCAD001550
DN 100 / NPS 4,PN20/40,EN-1092-F,Standard (Unbalanced),750-40,FCVCAD001551
DN 100 / NPS 4,PN20/40,EN-1092-F,Extended,750-20,FCVCAD001552
DN 100 / NPS 4,PN20/40,EN-1092-F,Extended,750-40,FCVCAD001553
DN 150 / NPS 6,PN10/16,RF,Standard,1200,FCVCAD001554
DN 150 / NPS 6,PN20/40,RF,Standard,1200,FCVCAD001555
DN 150 / NPS 6,CL150,RF,Standard,1200,FCVCAD001556
DN 150 / NPS 6,CL300,RF,Standard,1200,FCVCAD001557
DN 150 / NPS 6,PN10/16,EN-1092-D,Standard,1200,FCVCAD001558
DN 150 / NPS 6,PN20/40,EN-1092-D,Standard,1200,FCVCAD001559
DN 150 / NPS 6,PN10/16,EN-1092-E,Standard,1200,FCVCAD001560
DN 150 / NPS 6,PN20/40,EN-1092-E,Standard,1200,FCVCAD001561
DN 150 / NPS 6,PN10/16,EN-1092-F,Standard,1200,FCVCAD001562
DN 150 / NPS 6,PN20/40,EN-1092-F,Standard,1200,FCVCAD001563
